GenotypeID_V5_Grzybowski_etal_2022,State_Country_Origin,Subpopulation_Heteroticgroup
MS106,Michigan,Unclassified
MS116,Michigan,Unclassified
MS12,Michigan,Unclassified
MS132,Michigan,Stiff Stalk
MS1334,Michigan,Non Stiff Stalk
MS142,Michigan,Unclassified
MS153,Michigan,Non Stiff Stalk
MS200,Michigan,Unclassified
MS211,Michigan,Non Stiff Stalk
MS221,Michigan,Stiff Stalk
MS222,Michigan,Stiff Stalk
MS223,Michigan,Non Stiff Stalk
MS224,Michigan,Non Stiff Stalk
MS225,Michigan,Non Stiff Stalk
MS226,Michigan,Unclassified
MS24A,Michigan,Non Stiff Stalk
MS67,Michigan,Unclassified
MS71,Michigan,Non Stiff Stalk
MS72,Michigan,Unclassified
Mt42,Minnesota,Non Stiff Stalk
N192,Nebraska,Stiff Stalk
N193,Nebraska,Non Stiff Stalk
N197,Nebraska,Non Stiff Stalk
N199,Nebraska,Unclassified
N200,Nebraska,Non Stiff Stalk
N201,Nebraska,Stiff Stalk
N209,Nebraska,Stiff Stalk
N211,Nebraska,Unclassified
N215,Nebraska,Unclassified
N216,Nebraska,Unclassified
N217,Nebraska,Stiff Stalk
N218,Nebraska,Stiff Stalk
N28,Nebraska,Stiff Stalk
N28Ht,Nebraska,Stiff Stalk
N501,Nebraska,Stiff Stalk
N523,Nebraska,Stiff Stalk
N527,Nebraska,Stiff Stalk
N534,Nebraska,Unclassified
N538,Nebraska,Stiff Stalk
N540,Nebraska,Stiff Stalk
N542,Nebraska,Stiff Stalk
N545,Nebraska,Stiff Stalk
N6,Nebraska,Non Stiff Stalk
N7A,Nebraska,Stiff Stalk
NC13,North Carolina,Unclassified
NC222,North Carolina,Non Stiff Stalk
NC230,North Carolina,Non Stiff Stalk
NC232,North Carolina,Non Stiff Stalk
NC236,North Carolina,Non Stiff Stalk
NC238,North Carolina,Non Stiff Stalk
NC250,North Carolina,Stiff Stalk
NC258,North Carolina,PopCorn
NC260,North Carolina,Non Stiff Stalk
NC262,North Carolina,PopCorn
NC264,North Carolina,Non Stiff Stalk
NC290A,North Carolina,PopCorn
NC294,North Carolina,Stiff Stalk
NC296,North Carolina,Tropical
NC296A,North Carolina,Tropical
NC298,North Carolina,Tropical
NC300,North Carolina,Tropical
NC302,North Carolina,Tropical
NC304,North Carolina,Tropical
NC306,North Carolina,Stiff Stalk
NC310,North Carolina,Stiff Stalk
NC314,North Carolina,Stiff Stalk
NC318,North Carolina,Tropical
NC320,North Carolina,Tropical
NC324,North Carolina,Stiff Stalk
NC326,North Carolina,Stiff Stalk
NC328,North Carolina,Stiff Stalk
NC33,North Carolina,Non Stiff Stalk
NC336,North Carolina,Tropical
NC338,North Carolina,Tropical
NC340,North Carolina,Tropical
NC342,North Carolina,Non Stiff Stalk
NC344,North Carolina,PopCorn
NC346,North Carolina,Tropical
NC348,North Carolina,Tropical
NC350,North Carolina,Tropical
NC352,North Carolina,Tropical
NC354,North Carolina,Tropical
NC356,North Carolina,Tropical
NC358,North Carolina,Tropical
NC360,North Carolina,Unclassified
NC362,North Carolina,PopCorn
NC364,North Carolina,PopCorn
NC366,North Carolina,Tropical
NC368,North Carolina,Stiff Stalk
NC412,North Carolina,Tropical
ND1,North Dakota,Sweet Corn
ND167,North Dakota,Non Stiff Stalk
ND230,North Dakota,Non Stiff Stalk
ND245,North Dakota,Unclassified
ND246,North Dakota,Unclassified
ND247,North Dakota,Non Stiff Stalk
ND249,North Dakota,Unclassified
ND251,North Dakota,Unclassified
ND259,North Dakota,Unclassified
ND260,North Dakota,Unclassified
ND262,North Dakota,Unclassified
ND265,North Dakota,Non Stiff Stalk
ND283,North Dakota,Non Stiff Stalk
ND287,North Dakota,Unclassified
NK740,Northrup King Company,Non Stiff Stalk
NK778,,Non Stiff Stalk
NK794,Northrup King Company,Stiff Stalk
NK807,Northrup King Company,Stiff Stalk
NK907,Northrup King Company,Unclassified
NKBCC03,Northrup King Company,Non Stiff Stalk
NKH8431,Northrup King Company,Stiff Stalk
NKNP901,Northrup King Company,Stiff Stalk
NO._380,Other,Flint
NORTH_7,China,Unclassified
NP87,Nebraska,PopCorn
NP899,,Unclassified
NQ402,"United AgriSeeds, Inc.",Iodent
NQ508,"United AgriSeeds, Inc.",Iodent
NS501,"United AgriSeeds, Inc.",Stiff Stalk
NS701,ExPVP,Stiff Stalk
NY_159_(Neveh_Yaar),Other,Unclassified
NY_166_(Neveh_Yaar),Other,Unclassified
NY6371,CIMMYT,Tropical
Ny821,Wisconsin,Unclassified
OC19,Iowa,Unclassified
Oh3167B,Iowa,Unclassified
Oh33,Ohio,Non Stiff Stalk
Oh40B,Ohio,Non Stiff Stalk
Oh43,Ohio,Non Stiff Stalk
Oh43E,Ohio,Non Stiff Stalk
Oh603,Ohio,Unclassified
Oh7,Ohio,Non Stiff Stalk
Oh7B,Ohio,Non Stiff Stalk
OQ101,ExPVP,Unclassified
OQ403,ExPVP,Iodent
OQ601,"United AgriSeeds, Inc.",Iodent
OQ603,ExPVP,Iodent
Os420,Iowa,Non Stiff Stalk
Os426,Iowa,Non Stiff Stalk
OS602,ExPVP,Iodent
P39,Indiana,Sweet Corn
Pa392,Pennsylvania,Non Stiff Stalk
Pa405,Pennsylvania,Non Stiff Stalk
Pa468,Pennsylvania,Unclassified
Pa762,Pennsylvania,Non Stiff Stalk
Pa778,Pennsylvania,Non Stiff Stalk
Pa875,Pennsylvania,Stiff Stalk
Pa880,Pennsylvania,Non Stiff Stalk
Pa891,Pennsylvania,Non Stiff Stalk
Pa91,Pennsylvania,Non Stiff Stalk
PH207,ExPVP,Non Stiff Stalk
PH207,Iowa,Iodent
PH5HK,"Pioneer Hi-Bred International, Inc.",Unclassified
PHAA0,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHAW6,"Pioneer Hi-Bred International, Inc.",Iodent
PHB09,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHB47,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHBA6,ExPVP,Non Stiff Stalk
PHBB3,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHBW8,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHDD6,"Pioneer Hi-Bred International, Inc.",Sweet Corn
PHEG9,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHEM7,"Pioneer Hi-Bred International, Inc.",Sweet Corn
PHEM9,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHEW7,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHFA5,"Pioneer Hi-Bred International, Inc.",Unclassified
PHG29,ExPVP,Iodent
PHG35,"Pioneer Hi-Bred International, Inc.",Non Stiff Stalk
PHG39,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHG47,ExPVP,Non Stiff Stalk
PHG50,"Pioneer Hi-Bred International, Inc.",Iodent
PHG71,ExPVP,Stiff Stalk
PHG72,ExPVP,Iodent
PHG80,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
PHG83,ExPVP,Iodent
PHG84,ExPVP,Iodent
PHG86,ExPVP,Stiff Stalk
PHGG7,"Pioneer Hi-Bred International, Inc.",Sweet Corn
PHGV6,"Pioneer Hi-Bred International, Inc.",Unclassified
PHGW7,"Pioneer Hi-Bred International, Inc.",Iodent
PHH93,ExPVP,Iodent
PHHB4,"Pioneer Hi-Bred International, Inc.",Stiff Stalk
